Prompting-Strategy,Exp-Name,Version,Template
Zero-shot,ZS_w/o_context_0,1.1.0.0,"Task Description:
You will classify a comment made in the discussion thread of an issue report of Mozilla Firefox, as either: “Solution-related” or “Non-solution-related”.

Criteria for Classification:
“Solution-related”: The comment is written by a person and describes any of these three information kinds:
1. a solution to the reported problem in the issue report, proposed by a developer;
2. a review of a solution made by another developer; or
3. a description of the implemented solution made by a developer.

“Non-solution-related”: Any other comments that do not describe the above three kinds of information.

Instructions:
Classify the issue report comment below as either “Solution-related” or “Non-solution-related” and respond using the format below. Do not include anything else in the response.

Response Format:
Respond 1 if the comment is “Solution-related”, or 0, otherwise.

Issue report comment to classify:
“<comment_of_an_issue_report>”"
Zero-shot,ZS_w/o_context_1,1.1.0.1,"You will classify a comment made in the discussion thread of an issue report of Mozilla Firefox, as either: “Solution-related” or “Non-solution-related”.

Criteria for Classification:
“Solution-related”: The comment is written by a person and describes any of these three information kinds:
1. a solution to the reported problem in the issue report, proposed by a developer;
2. an assessment of a proposed solution made by another developer; or
3. a description of the implemented solution made by a developer.

“Non-solution-related”: Any other comments that do not describe the above three kinds of information. The comment that does not contain any human-written text, i.e., contains only auto-generated text (e.g., only links, bot messages, only attachments, etc.), should be considered as “Non-solution-related”.

Instructions:
Classify the issue report comment below as either “Solution-related (1)” or “Non-solution-related (0)” and respond using the format below. Do not include anything else in the response.

Response Format:
1 or 0

Issue report comment to classify:
“<comment_of_an_issue_report>”"
Zero-shot,ZS_w/o_context_2,1.1.0.2,"You will classify a comment made in the discussion thread of an issue report of Mozilla Firefox, as either: “Solution-related” or “Non-solution-related”.

Criteria for Classification:
“Solution-related”: The comment is written by a person and describes any of these three information kinds:
1. a description of the solution to the reported problem in the issue report, proposed by a developer;
2. an assessment of the feasibility of a proposed solution made by another developer; or
3. a description of the implemented solution made by a developer.

“Non-solution-related”: Any other comments that do not describe the above three kinds of information. The comment that does not contain any human-written text, i.e., contains only auto-generated text (e.g., only links, bot messages, only attachments, etc.), should be considered as “Non-solution-related”. If a developer makes an comment on an implemented patch/code, i.e., reviews the code, then it should be considered as “Non-solution-related”. 

Instructions:
Classify the issue report comment below as either “Solution-related (1)” or “Non-solution-related (0)” and respond using the format below. Do not include anything else in the response.

Response Format:
1 or 0

Issue report comment to classify:
“<comment_of_an_issue_report>”"
Zero-shot,ZS_w/o_context,1.1.0.3,"You will classify a comment made in the discussion thread of an issue report of Mozilla Firefox, as either: “Solution-related” or “Non-solution-related”.

Criteria for Classification:
“Solution-related”: The comment is written by a person and describes any of these three information kinds:
1. a description of the solution to the reported problem in the issue report, proposed by a developer;
2. an assessment of the feasibility of a proposed solution made by another developer; or
3. a description of the implemented solution for solving the issue made by a developer.

“Non-solution-related”: Any other comments that do not describe the above three kinds of information. The comment that does not contain any human-written text, i.e., contains only auto-generated text (e.g., only links, bot messages, only attachments, etc.), should be considered as “Non-solution-related”. If a developer performs a code review, i.e., checks for problems in the patch/code of the implemented solution, then it should be considered as “Non-solution-related”. 

Instructions:
Classify the following issue report comment as either “Solution-related (1)” or “Non-solution-related (0)” and provide the response by strictly using the Response Format (i.e., either 1 or 0). You must not include anything else in the response.
Response Format:
1 or 0

Issue report comment to classify (delimited by triple quotes):
""""""<comment_of_an_issue_report>"""""""
Zero-shot,ZS_w_context_2,1.1.1.3,"You will classify a comment made in the discussion thread of an issue report of Mozilla Firefox, as either: “Solution-related” or “Non-solution-related”.

Criteria for Classification:
“Solution-related”: The comment is written by a person and describes any of these three information kinds:
1. a description of the solution to the reported problem in the issue report, proposed by a developer;
2. an assessment of the feasibility of a proposed solution made by another developer; or
3. a description of the implemented solution for solving the issue made by a developer.

“Non-solution-related”: Any other comments that do not describe the above three kinds of information. The comment that does not contain any human-written text, i.e., contains only auto-generated text (e.g., only links, bot messages, only attachments, etc.), should be considered as “Non-solution-related”. If a developer performs a code review, i.e., checks for problems in the patch/code of the implemented solution, then it should be considered as “Non-solution-related”. 

Instructions:
Use the provided summary and description of the issue report (delimited by triple quotes) for which you will classify the comment as the context to understand the issue.
Issue Summary:
""""""<issue_summary>""""""

Issue Description:
""""""<issue_description>""""""

Classify the following issue report comment as either “Solution-related (1)” or “Non-solution-related (0)” and provide the response by strictly using the Response Format (i.e., either 1 or 0). You must not include anything else in the response.
Response Format:
1 or 0

Issue report comment to classify (delimited by triple quotes):
""""""<comment_of_an_issue_report>"""""""
Few-shot,FS_4_exm_w/o_context,1.2.0.3,"You will classify a comment made in the discussion thread of an issue report of Mozilla Firefox, as either: “Solution-related” or “Non-solution-related”.

Criteria for Classification:
“Solution-related”: The comment is written by a person and describes any of these three information kinds:
1. a description of the solution to the reported problem in the issue report, proposed by a developer;
2. an assessment of the feasibility of a proposed solution made by another developer; or
3. a description of the implemented solution for solving the issue made by a developer.

“Non-solution-related”: Any other comments that do not describe the above three kinds of information. The comment that does not contain any human-written text, i.e., contains only auto-generated text (e.g., only links, bot messages, only attachments, etc.), should be considered as “Non-solution-related”. If a developer performs a code review, i.e., checks for problems in the patch/code of the implemented solution, then it should be considered as “Non-solution-related”.

Instructions:
Classify the following issue report comment as either “Solution-related (1)” or “Non-solution-related (0)” and provide the response by strictly using the Response Format (i.e., either 1 or 0). You must not include anything else in the response.
Response Format:
1 or 0

Issue report comment to classify (delimited by triple quotes):
""""""<comment_of_an_issue_report>""""""

Below, I provide four examples comments (delimited by triple quotes) from different issue reports with their expected output for illustration purposes:
Example comment 1: 
""""""Created attachment 441050
Optimized DoubleToECMAInt32 for ARM.
 * I don't like using assembly in this way, particularly outside the back-ends, but I couldn't get close to the performance of this routine using pure C. I do have a C version which still provides an excellent improvement over the slow path, and it should also work for any little-endian IEEE-754 system.
 * I've added many comments to my assembly to try to explain what's going on, but this does make the code look somewhat long (even though the output is tiny). Suggestions are welcome! The comments are important; I don't want this to be a write-only routine, and this kind of assembly algorithm can get unreadable pretty quickly.
 * I get a 5.5% performance improvement on A8 with this patch. That's rather surprising, considering that it's only one function, but I won't complain! (My pure C implementation is 3.9% faster than the slow-path on A8.)
 * I tested the routine in a standalone harness to ensure that all the code-paths were exercised. It appears functionally equivalent to the slow path.""""""
Expected Output: 1

Example comment 2: 
""""""Do you really think it's better to start using C++11's move() before we've gotten rid of mfbt/Move.h?  I'm not sure that switching to a new interface before we've deprecated the old one is a good idea; that just makes it confusing for consumers (which move() do I use?).""""""
Expected Output: 1

Example comment 3: 
""""""Comment on attachment 433027
Patch v1.0
I don't understand this method. Nothing seems to call it ever.
So you are, at least in theory, changing the behavior here.
Have you tested password fields with IME?
I think I would do this in different way.
Really start use nsEditor::mFlags always, and remove mFlags from nsTextEditRules.
nsTextEditRules can always access nsEditor::mFlags when needed.
Or is there some reason to not use nsEditor::mFlags, but nsTextEditRules::mFlags?""""""
Expected Output: 0

Example comment 4: 
""""""Pushed by bwerth@mozilla.com:
https://hg.mozilla.org/integration/autoland/rev/baa3ac5e605e
Make macOS pasteboard use NSString for urls, and don't convert to NSData. r=mac-reviewers,spohl""""""
Expected Output: 0"
Few-shot,FS_4_exm_w_context,1.2.1.3,"You will classify a comment made in the discussion thread of an issue report of Mozilla Firefox, as either: “Solution-related” or “Non-solution-related”.

Criteria for Classification:
“Solution-related”: The comment is written by a person and describes any of these three information kinds:
1. a description of the solution to the reported problem in the issue report, proposed by a developer;
2. an assessment of the feasibility of a proposed solution made by another developer; or
3. a description of the implemented solution for solving the issue made by a developer.

“Non-solution-related”: Any other comments that do not describe the above three kinds of information. The comment that does not contain any human-written text, i.e., contains only auto-generated text (e.g., only links, bot messages, only attachments, etc.), should be considered as “Non-solution-related”. If a developer performs a code review, i.e., checks for problems in the patch/code of the implemented solution, then it should be considered as “Non-solution-related”. 

Instructions:
Use the provided summary and description of the issue report (delimited by triple quotes) for which you will classify the comment as the context to understand the issue.
Issue Summary:
""""""<issue_summary>""""""

Issue Description:
""""""<issue_description>""""""

Classify the following issue report comment as either “Solution-related (1)” or “Non-solution-related (0)” and provide the response by strictly using the Response Format (i.e., either 1 or 0). You must not include anything else in the response.
Response Format:
1 or 0

Issue report comment to classify (delimited by triple quotes):
""""""<comment_of_an_issue_report>""""""

Below, I provide four example comments (delimited by triple quotes) from different issue reports with their expected output for illustration purposes:
Example comment 1: 
""""""Created attachment 441050
Optimized DoubleToECMAInt32 for ARM.
 * I don't like using assembly in this way, particularly outside the back-ends, but I couldn't get close to the performance of this routine using pure C. I do have a C version which still provides an excellent improvement over the slow path, and it should also work for any little-endian IEEE-754 system.
 * I've added many comments to my assembly to try to explain what's going on, but this does make the code look somewhat long (even though the output is tiny). Suggestions are welcome! The comments are important; I don't want this to be a write-only routine, and this kind of assembly algorithm can get unreadable pretty quickly.
 * I get a 5.5% performance improvement on A8 with this patch. That's rather surprising, considering that it's only one function, but I won't complain! (My pure C implementation is 3.9% faster than the slow-path on A8.)
 * I tested the routine in a standalone harness to ensure that all the code-paths were exercised. It appears functionally equivalent to the slow path.""""""
Expected Output: 1

Example comment 2: 
""""""Do you really think it's better to start using C++11's move() before we've gotten rid of mfbt/Move.h?  I'm not sure that switching to a new interface before we've deprecated the old one is a good idea; that just makes it confusing for consumers (which move() do I use?).""""""
Expected Output: 1

Example comment 3: 
""""""Comment on attachment 433027
Patch v1.0
I don't understand this method. Nothing seems to call it ever.
So you are, at least in theory, changing the behavior here.
Have you tested password fields with IME?
I think I would do this in different way.
Really start use nsEditor::mFlags always, and remove mFlags from nsTextEditRules.
nsTextEditRules can always access nsEditor::mFlags when needed.
Or is there some reason to not use nsEditor::mFlags, but nsTextEditRules::mFlags?""""""
Expected Output: 0

Example comment 4: 
""""""Pushed by bwerth@mozilla.com:
https://hg.mozilla.org/integration/autoland/rev/baa3ac5e605e
Make macOS pasteboard use NSString for urls, and don't convert to NSData. r=mac-reviewers,spohl""""""
Expected Output: 0"
Few-shot,FS_7_exm_w/o_context,1.2.0.4,"You will classify a comment made in the discussion thread of an issue report of Mozilla Firefox, as either: “Solution-related” or “Non-solution-related”.

Criteria for Classification:
“Solution-related”: The comment is written by a person and describes any of these three information kinds:
1. a description of the solution to the reported problem in the issue report, proposed by a developer;
2. an assessment of the feasibility of a proposed solution made by another developer; or
3. a description of the implemented solution for solving the issue made by a developer.

“Non-solution-related”: Any other comments that do not describe the above three kinds of information. The comment that does not contain any human-written text, i.e., contains only auto-generated text (e.g., only links, bot messages, only attachments, etc.), should be considered as “Non-solution-related”. If a developer performs a code review, i.e., checks for problems in the patch/code of the implemented solution, then it should be considered as “Non-solution-related”.

Instructions:
Classify the following issue report comment as either “Solution-related (1)” or “Non-solution-related (0)” and provide the response by strictly using the Response Format (i.e., either 1 or 0). You must not include anything else in the response.
Response Format:
1 or 0

Issue report comment to classify (delimited by triple quotes):
""""""<comment_of_an_issue_report>""""""

Below, I provide four examples comments (delimited by triple quotes) from different issue reports with their expected output for illustration purposes:
Example comment 1: 
""""""Created attachment 441050
Optimized DoubleToECMAInt32 for ARM.
 * I don't like using assembly in this way, particularly outside the back-ends, but I couldn't get close to the performance of this routine using pure C. I do have a C version which still provides an excellent improvement over the slow path, and it should also work for any little-endian IEEE-754 system.
 * I've added many comments to my assembly to try to explain what's going on, but this does make the code look somewhat long (even though the output is tiny). Suggestions are welcome! The comments are important; I don't want this to be a write-only routine, and this kind of assembly algorithm can get unreadable pretty quickly.
 * I get a 5.5% performance improvement on A8 with this patch. That's rather surprising, considering that it's only one function, but I won't complain! (My pure C implementation is 3.9% faster than the slow-path on A8.)
 * I tested the routine in a standalone harness to ensure that all the code-paths were exercised. It appears functionally equivalent to the slow path.""""""
Expected Output: 1

Example comment 2: 
""""""Do you really think it's better to start using C++11's move() before we've gotten rid of mfbt/Move.h?  I'm not sure that switching to a new interface before we've deprecated the old one is a good idea; that just makes it confusing for consumers (which move() do I use?).""""""
Expected Output: 1

Example comment 3: 
""""""I can think of two possible solutions:
1) rather than storing the address of the second instruction, store the address of the *first* instruction, so we'll be able to walk forwards and get to the other two, possibly following pool guards.
2) mark those three instructions as a no-pool zone.  no-pool zones have always felt like a hack.
I'll need to find out why we carry the address of the second instruction to begin with.""""""
Expected Output: 1

Example comment 4: 
""""""Comment on attachment 433027
Patch v1.0
I don't understand this method. Nothing seems to call it ever.
So you are, at least in theory, changing the behavior here.
Have you tested password fields with IME?
I think I would do this in different way.
Really start use nsEditor::mFlags always, and remove mFlags from nsTextEditRules.
nsTextEditRules can always access nsEditor::mFlags when needed.
Or is there some reason to not use nsEditor::mFlags, but nsTextEditRules::mFlags?""""""
Expected Output: 0

Example comment 5: 
""""""Pushed by bwerth@mozilla.com:
https://hg.mozilla.org/integration/autoland/rev/baa3ac5e605e
Make macOS pasteboard use NSString for urls, and don't convert to NSData. r=mac-reviewers,spohl""""""
Expected Output: 0

Example comment 6: 
""""""Created attachment 438372
Patch v3.0
O.K. But I'll post the patch in another new bug.""""""
Expected Output: 0

Example comment 7: 
""""""Verified fixed with Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:2.0b7pre) Gecko/20101006 Firefox/4.0b7pre. Also tested with 4.0b8pre builds on other platforms.""""""
Expected Output: 0"
Few-shot,FS_7_exm_w_context,1.2.1.4,"You will classify a comment made in the discussion thread of an issue report of Mozilla Firefox, as either: “Solution-related” or “Non-solution-related”.

Criteria for Classification:
“Solution-related”: The comment is written by a person and describes any of these three information kinds:
1. a description of the solution to the reported problem in the issue report, proposed by a developer;
2. an assessment of the feasibility of a proposed solution made by another developer; or
3. a description of the implemented solution for solving the issue made by a developer.

“Non-solution-related”: Any other comments that do not describe the above three kinds of information. The comment that does not contain any human-written text, i.e., contains only auto-generated text (e.g., only links, bot messages, only attachments, etc.), should be considered as “Non-solution-related”. If a developer performs a code review, i.e., checks for problems in the patch/code of the implemented solution, then it should be considered as “Non-solution-related”. 

Instructions:
Use the provided summary and description of the issue report (delimited by triple quotes) for which you will classify the comment as the context to understand the issue.
Issue Summary:
""""""<issue_summary>""""""

Issue Description:
""""""<issue_description>""""""

Classify the following issue report comment as either “Solution-related (1)” or “Non-solution-related (0)” and provide the response by strictly using the Response Format (i.e., either 1 or 0). You must not include anything else in the response.
Response Format:
1 or 0

Issue report comment to classify (delimited by triple quotes):
""""""<comment_of_an_issue_report>""""""

Below, I provide four examples comments (delimited by triple quotes) from different issue reports with their expected output for illustration purposes:
Example comment 1: 
""""""Created attachment 441050
Optimized DoubleToECMAInt32 for ARM.
 * I don't like using assembly in this way, particularly outside the back-ends, but I couldn't get close to the performance of this routine using pure C. I do have a C version which still provides an excellent improvement over the slow path, and it should also work for any little-endian IEEE-754 system.
 * I've added many comments to my assembly to try to explain what's going on, but this does make the code look somewhat long (even though the output is tiny). Suggestions are welcome! The comments are important; I don't want this to be a write-only routine, and this kind of assembly algorithm can get unreadable pretty quickly.
 * I get a 5.5% performance improvement on A8 with this patch. That's rather surprising, considering that it's only one function, but I won't complain! (My pure C implementation is 3.9% faster than the slow-path on A8.)
 * I tested the routine in a standalone harness to ensure that all the code-paths were exercised. It appears functionally equivalent to the slow path.""""""
Expected Output: 1

Example comment 2: 
""""""Do you really think it's better to start using C++11's move() before we've gotten rid of mfbt/Move.h?  I'm not sure that switching to a new interface before we've deprecated the old one is a good idea; that just makes it confusing for consumers (which move() do I use?).""""""
Expected Output: 1

Example comment 3: 
""""""I can think of two possible solutions:
1) rather than storing the address of the second instruction, store the address of the *first* instruction, so we'll be able to walk forwards and get to the other two, possibly following pool guards.
2) mark those three instructions as a no-pool zone.  no-pool zones have always felt like a hack.
I'll need to find out why we carry the address of the second instruction to begin with.""""""
Expected Output: 1

Example comment 4: 
""""""Comment on attachment 433027
Patch v1.0
I don't understand this method. Nothing seems to call it ever.
So you are, at least in theory, changing the behavior here.
Have you tested password fields with IME?
I think I would do this in different way.
Really start use nsEditor::mFlags always, and remove mFlags from nsTextEditRules.
nsTextEditRules can always access nsEditor::mFlags when needed.
Or is there some reason to not use nsEditor::mFlags, but nsTextEditRules::mFlags?""""""
Expected Output: 0

Example comment 5: 
""""""Pushed by bwerth@mozilla.com:
https://hg.mozilla.org/integration/autoland/rev/baa3ac5e605e
Make macOS pasteboard use NSString for urls, and don't convert to NSData. r=mac-reviewers,spohl""""""
Expected Output: 0

Example comment 6: 
""""""Created attachment 438372
Patch v3.0
O.K. But I'll post the patch in another new bug.""""""
Expected Output: 0

Example comment 7: 
""""""Verified fixed with Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:2.0b7pre) Gecko/20101006 Firefox/4.0b7pre. Also tested with 4.0b8pre builds on other platforms.""""""
Expected Output: 0"
Chain-of-thought,CoT_4xmpl_w/o_context,1.3.0.3,"You will classify a comment made in the discussion thread of an issue report of Mozilla Firefox, as either: “Solution-related” or “Non-solution-related”.

Criteria for Classification:
“Solution-related”: The comment is written by a person and describes any of these three information kinds:
1. a description of the solution to the reported problem in the issue report, proposed by a developer;
2. an assessment of the feasibility of a proposed solution made by another developer; or
3. a description of the implemented solution for solving the issue made by a developer.

“Non-solution-related”: Any other comments that do not describe the above three kinds of information. The comment that does not contain any human-written text, i.e., contains only auto-generated text (e.g., only links, bot messages, only attachments, etc.), should be considered as “Non-solution-related”. If a developer performs a code review, i.e., checks for problems in the patch/code of the implemented solution, then it should be considered as “Non-solution-related”. 

Instructions:
Classify the following issue report comment as either “Solution-related (1)” or “Non-solution-related (0)” and provide the response by strictly using the Response Format (i.e., either 1 or 0). You must not include anything else in the response.
Response Format:
1 or 0

Issue report comment to classify (delimited by triple quotes):
""""""<comment_of_an_issue_report>""""""

Below, I provide four example comments (delimited by triple quotes) from different issue reports with their expected output and reasoning for illustration purposes:
Example comment 1: 
""""""Created attachment 441050
Optimized DoubleToECMAInt32 for ARM.
 * I don't like using assembly in this way, particularly outside the back-ends, but I couldn't get close to the performance of this routine using pure C. I do have a C version which still provides an excellent improvement over the slow path, and it should also work for any little-endian IEEE-754 system.
 * I've added many comments to my assembly to try to explain what's going on, but this does make the code look somewhat long (even though the output is tiny). Suggestions are welcome! The comments are important; I don't want this to be a write-only routine, and this kind of assembly algorithm can get unreadable pretty quickly.
 * I get a 5.5% performance improvement on A8 with this patch. That's rather surprising, considering that it's only one function, but I won't complain! (My pure C implementation is 3.9% faster than the slow-path on A8.)
 * I tested the routine in a standalone harness to ensure that all the code-paths were exercised. It appears functionally equivalent to the slow path.""""""
Expected Output: 1
Reasoning: In this comment, a developer submitted a patch as the solution to the issue and described what he had done in the patch for improving the performance of a code file (this is the issue). It suggests he made comments in the code to understand what the coding is doing and he asked for suggestions about the patch. As the comment contains human-written text and contains the description of the implemented solution, it is a “Solution-related (1)” comment.

Example comment 2: 
""""""Do you really think it's better to start using C++11's move() before we've gotten rid of mfbt/Move.h?  I'm not sure that switching to a new interface before we've deprecated the old one is a good idea; that just makes it confusing for consumers (which move() do I use?).""""""
Expected Output: 1
Reasoning: In this comment, a developer assessed a previously proposed solution by providing his feedback about updating the interface. He thinks they should not switch to a new interface before depricating the old one as it can be confusing for the consumers, and hence, he does not agree with the proposed solution. As this comment contains human written text and describes an assessment of a proposed solution, it is a “Solution-related (1)” comment.

Example comment 3: 
""""""Comment on attachment 433027
Patch v1.0
I don't understand this method. Nothing seems to call it ever.
So you are, at least in theory, changing the behavior here.
Have you tested password fields with IME?
I think I would do this in different way.
Really start use nsEditor::mFlags always, and remove mFlags from nsTextEditRules.
nsTextEditRules can always access nsEditor::mFlags when needed.
Or is there some reason to not use nsEditor::mFlags, but nsTextEditRules::mFlags?""""""
Expected Output: 0
Reasoning: In this comment, a developer performed a code review on the attached patch made by another developer by making his suggestions on the code changes. He described a different way for the code change as he thinks the current way is changing the behavior. As the comment indicates a code review, it is a “Non-solution-related (0)” comment. 

Example comment 4: 
""""""Pushed by bwerth@mozilla.com:
https://hg.mozilla.org/integration/autoland/rev/baa3ac5e605e
Make macOS pasteboard use NSString for urls, and don't convert to NSData. r=mac-reviewers,spohl""""""
Expected Output: 0
Reasoning: This comment contains the commit message which is generated automatically. As there is no human written text in this comment, it is a “Non-solution-related (0)” comment.
"
