run,oversample,batch_size,epoch,learning_Rate,model_name,accuracy,precision,recall,f1,TP,FP,TN,FN
0,False,32,10,3.00E-05,roberta-base,0.90759754,0.72972973,0.6835443,0.70588235,54,20,388,25
0,False,16,3,3.00E-05,xlnet-base-cased,0.8973306,0.68831169,0.67088608,0.67948718,53,24,384,26
0,False,32,4,3.00E-05,bert-base-uncased,0.88090349,0.63291139,0.63291139,0.63291139,50,29,379,29
0,False,16,2,3.00E-05,distilbert-base-uncased,0.88911704,0.6984127,0.55696203,0.61971831,44,19,389,35
0,True,32,10,3.00E-05,roberta-base,0.88295688,0.62790698,0.6835443,0.65454545,54,32,376,25
0,True,32,2,3.00E-05,distilbert-base-uncased,0.89938398,0.6744186,0.73417722,0.7030303,58,28,380,21
0,True,16,5,3.00E-05,xlnet-base-cased,0.89322382,0.67532468,0.65822785,0.66666667,52,25,383,27
0,True,16,3,2.00E-05,bert-base-uncased,0.88295688,0.64102564,0.63291139,0.63694268,50,28,380,29
1,False,32,10,3.00E-05,roberta-base,0.88911704,0.63736264,0.73417722,0.68235294,58,33,375,21
1,False,16,3,2.00E-05,distilbert-base-uncased,0.88706366,0.64285714,0.6835443,0.66257669,54,30,378,25
1,False,32,5,2.00E-05,xlnet-base-cased,0.88501027,0.64935065,0.63291139,0.64102564,50,27,381,29
1,False,16,3,3.00E-05,bert-base-uncased,0.8788501,0.65151515,0.5443038,0.59310345,43,23,385,36
1,True,16,5,2.00E-05,roberta-base,0.89117043,0.65116279,0.70886076,0.67878788,56,30,378,23
1,True,32,2,2.00E-05,bert-base-uncased,0.88911704,0.62886598,0.7721519,0.69318182,61,36,372,18
1,True,16,2,2.00E-05,distilbert-base-uncased,0.88911704,0.64705882,0.69620253,0.67073171,55,30,378,24
1,True,32,3,1.00E-05,xlnet-base-cased,0.84394251,0.51181102,0.82278481,0.63106796,65,62,346,14
2,False,32,5,3.00E-05,roberta-base,0.89938398,0.6875,0.69620253,0.6918239,55,25,383,24
2,False,32,3,2.00E-05,xlnet-base-cased,0.89938398,0.72058824,0.62025316,0.66666667,49,19,389,30
2,False,32,3,5.00E-05,distilbert-base-uncased,0.90349076,0.76666667,0.58227848,0.6618705,46,14,394,33
2,False,32,3,2.00E-05,bert-base-uncased,0.89527721,0.71212121,0.59493671,0.64827586,47,19,389,32
2,True,16,10,3.00E-05,roberta-base,0.92402464,0.79166667,0.72151899,0.75496689,57,15,393,22
2,True,16,5,2.00E-05,xlnet-base-cased,0.89938398,0.69736842,0.67088608,0.68387097,53,23,385,26
2,True,32,3,3.00E-05,distilbert-base-uncased,0.89322382,0.68493151,0.63291139,0.65789474,50,23,385,29
2,True,32,4,3.00E-05,bert-base-uncased,0.88911704,0.68115942,0.59493671,0.63513514,47,22,386,32
3,False,16,10,1.00E-05,roberta-base,0.91170431,0.73076923,0.72151899,0.72611465,57,21,387,22
3,False,16,3,5.00E-05,bert-base-uncased,0.90143737,0.6741573,0.75949367,0.71428571,60,29,379,19
3,False,32,4,5.00E-05,distilbert-base-uncased,0.90349076,0.72857143,0.64556962,0.68456376,51,19,389,28
